BROOK-HQ	Headquarters	Brooks County Library
STRL-RHILL	Bryan County Library - Richmond Hill	Statesboro Regional Library
STRL-SWAIN	Franklin Memorial Library	Statesboro Regional Library
STRL-CLAX	Evans County Library	Statesboro Regional Library
TRRL-BRANT	Brantley County Library	Three Rivers Regional Library
TRRL-CAMDN	Camden County Library	Three Rivers Regional Library
TRRL-CHARL	Charlton County Library	Three Rivers Regional Library
TRRL-GLYNN	Brunswick-Glynn County Library	Three Rivers Regional Library
TRRL-LONG	Long County Library	Three Rivers Regional Library
TRRL-MCINT	McIntosh County/Ida Hilton Library	Three Rivers Regional Library
TRRL-STMRY	St. Mary's Library	Three Rivers Regional Library
TRRL-WAYNE	Wayne County Library	Three Rivers Regional Library
TRRL-BKM	Bookmobile	Three Rivers Regional Library
WGRL-HQ	West Ga. Regional Library Hdqtrs.	West Georgia Regional Library
WGRL-BKM	Bookmobile	West Georgia Regional Library
WGRL-BO	Bowdon Public Library	West Georgia Regional Library
WGRL-BR	Bremen Public Library	West Georgia Regional Library
WGRL-DC	Douglas County Public Library	West Georgia Regional Library
WGRL-FR	Heard County Public Library	West Georgia Regional Library
WGRL-LS	Betty C. Hagler Public Library	West Georgia Regional Library
WGRL-MR	Maude Ragsdale Public Library	West Georgia Regional Library
WGRL-NG	New Georgia Public Library	West Georgia Regional Library
WGRL-PC	Paulding County Public Library	West Georgia Regional Library
WGRL-TA	Tallapoosa Public Library	West Georgia Regional Library
WGRL-VR	Villa Rica Public Library	West Georgia Regional Library
PMRLS-YPL	Yatesville Public Library	Pine Mountain Regional Library
DTRL-BAKR	Baker County Library	Desoto Trail Regional Library
DTRL-JAKN	Jakin Public Library	Desoto Trail Regional Library
PIED-WIN	Headquarters-Winder	Piedmont Regional Library System
PIED-AUB	Auburn Public Library	Piedmont Regional Library System
PIED-COM	Commerce Public Library	Piedmont Regional Library System
PIED-HOM	Banks County Public Library	Piedmont Regional Library System
PIED-JEF	Jefferson Public Library	Piedmont Regional Library System
PIED-MAY	Maysville Public Library	Piedmont Regional Library System
PIED-NIC	H.S. Swindle Public (Nicholson)	Piedmont Regional Library System
PIED-STA	Statham Public Library	Piedmont Regional Library System
PIED-BKM	Bookmobile	Piedmont Regional Library System
PIED-BRL	Braselton Library	Piedmont Regional Library System
ROCK-NG	Nancy Guinn Library	Conyers-Rockdale Library System
TLLS-LS	Lake Sinclair Library	Twin Lakes Library
WGRL-BU	Buchanan Branch Library	West Georgia Regional Library
HALL-TEMP	Temp branch	Hall County Library System
LEE-RED	Lee County-Redbone	Lee County Public Library
